ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
OGN,Organon & Co.,Health Care,Pharmaceuticals,1821825,SP600,2834,Pharmaceutical Preparations
OI,"O-I Glass, Inc.",Materials,"Metal, Glass & Plastic Containers",812074,SP600,3221,Glass Containers
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,73756,SP600,1389,"Oil & Gas Field Services, NEC"
OMCL,Omnicell,Health Care,Health Care Technology,926326,SP600,3571,Electronic Computers
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,1039065,SP600,3674,Semiconductors & Related Devices
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,Leisure Facilities,1758488,SP600,7997,Services-Membership Sports & Recreation Clubs
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,1466593,SP600,4911,Electric Services
OUT,Outfront Media,Real Estate,Other Specialized REITs,1579877,SP600,6798,Real Estate Investment Trusts
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",75288,SP600,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,1069899,SP600,2834,Pharmaceutical Preparations
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,821483,SP600,1311,Crude Petroleum & Natural Gas
PAYC,Paycom,Industrials,Human Resource & Employment Services,1590955,SP600,7372,Services-Prepackaged Software
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,1845815,SP600,7389,"Services-Business Services, NEC"
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Automotive Parts & Equipment,76605,SP600,3714,Motor Vehicle Parts & Accessories
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,1295947,SP600,2834,Pharmaceutical Preparations
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,78814,SP600,3579,"Office Machines, NEC"
